Date,Type,Value
1905-05-03,Aquaculture - marine waters,0
1905-05-04,Aquaculture - marine waters,0
1905-05-05,Aquaculture - marine waters,0
1905-05-06,Aquaculture - marine waters,1
1905-05-07,Aquaculture - marine waters,1
1905-05-08,Aquaculture - marine waters,1
1905-05-09,Aquaculture - marine waters,1
1905-05-10,Aquaculture - marine waters,1
1905-05-11,Aquaculture - marine waters,1
1905-05-12,Aquaculture - marine waters,1
1905-05-13,Aquaculture - marine waters,1
1905-05-14,Aquaculture - marine waters,1
1905-05-15,Aquaculture - marine waters,1
1905-05-16,Aquaculture - marine waters,1
1905-05-17,Aquaculture - marine waters,1
1905-05-18,Aquaculture - marine waters,1
1905-05-19,Aquaculture - marine waters,1
1905-05-20,Aquaculture - marine waters,1
1905-05-21,Aquaculture - marine waters,1
1905-05-22,Aquaculture - marine waters,1
1905-05-23,Aquaculture - marine waters,1
1905-05-24,Aquaculture - marine waters,1
1905-05-25,Aquaculture - marine waters,2
1905-05-26,Aquaculture - marine waters,2
1905-05-27,Aquaculture - marine waters,2
1905-05-28,Aquaculture - marine waters,2
1905-05-29,Aquaculture - marine waters,2
1905-05-30,Aquaculture - marine waters,2
1905-05-31,Aquaculture - marine waters,2
1905-06-01,Aquaculture - marine waters,2
1905-06-02,Aquaculture - marine waters,2
1905-06-03,Aquaculture - marine waters,3
1905-06-04,Aquaculture - marine waters,3
1905-06-05,Aquaculture - marine waters,3
1905-06-06,Aquaculture - marine waters,3
1905-06-07,Aquaculture - marine waters,3
1905-06-08,Aquaculture - marine waters,4
1905-06-09,Aquaculture - marine waters,4
1905-06-10,Aquaculture - marine waters,5
1905-06-11,Aquaculture - marine waters,5
1905-06-12,Aquaculture - marine waters,5
1905-06-13,Aquaculture - marine waters,6
1905-06-14,Aquaculture - marine waters,7
1905-06-15,Aquaculture - marine waters,8
1905-06-16,Aquaculture - marine waters,9
1905-06-17,Aquaculture - marine waters,11
1905-06-18,Aquaculture - marine waters,11
1905-06-19,Aquaculture - marine waters,11
1905-06-20,Aquaculture - marine waters,12
1905-06-21,Aquaculture - marine waters,13
1905-06-22,Aquaculture - marine waters,14
1905-06-23,Aquaculture - marine waters,15
1905-06-24,Aquaculture - marine waters,16
1905-06-25,Aquaculture - marine waters,17
1905-06-26,Aquaculture - marine waters,18
1905-06-27,Aquaculture - marine waters,18
1905-06-28,Aquaculture - marine waters,19
1905-06-29,Aquaculture - marine waters,20
1905-06-30,Aquaculture - marine waters,21
1905-07-01,Aquaculture - marine waters,21
1905-07-02,Aquaculture - marine waters,22
1905-07-03,Aquaculture - marine waters,23
1905-07-04,Aquaculture - marine waters,24
1905-07-05,Aquaculture - marine waters,25
1905-07-06,Aquaculture - marine waters,26
1905-07-07,Aquaculture - marine waters,27
1905-07-08,Aquaculture - marine waters,29
1905-07-09,Aquaculture - marine waters,30
1905-07-10,Aquaculture - marine waters,31
1905-05-03,Aquaculture - inland waters,0
1905-05-04,Aquaculture - inland waters,0
1905-05-05,Aquaculture - inland waters,0
1905-05-06,Aquaculture - inland waters,0
1905-05-07,Aquaculture - inland waters,1
1905-05-08,Aquaculture - inland waters,1
1905-05-09,Aquaculture - inland waters,1
1905-05-10,Aquaculture - inland waters,1
1905-05-11,Aquaculture - inland waters,1
1905-05-12,Aquaculture - inland waters,1
1905-05-13,Aquaculture - inland waters,1
1905-05-14,Aquaculture - inland waters,1
1905-05-15,Aquaculture - inland waters,1
1905-05-16,Aquaculture - inland waters,1
1905-05-17,Aquaculture - inland waters,1
1905-05-18,Aquaculture - inland waters,1
1905-05-19,Aquaculture - inland waters,1
1905-05-20,Aquaculture - inland waters,1
1905-05-21,Aquaculture - inland waters,1
1905-05-22,Aquaculture - inland waters,1
1905-05-23,Aquaculture - inland waters,1
1905-05-24,Aquaculture - inland waters,1
1905-05-25,Aquaculture - inland waters,1
1905-05-26,Aquaculture - inland waters,2
1905-05-27,Aquaculture - inland waters,2
1905-05-28,Aquaculture - inland waters,2
1905-05-29,Aquaculture - inland waters,2
1905-05-30,Aquaculture - inland waters,2
1905-05-31,Aquaculture - inland waters,2
1905-06-01,Aquaculture - inland waters,2
1905-06-02,Aquaculture - inland waters,2
1905-06-03,Aquaculture - inland waters,3
1905-06-04,Aquaculture - inland waters,3
1905-06-05,Aquaculture - inland waters,3
1905-06-06,Aquaculture - inland waters,4
1905-06-07,Aquaculture - inland waters,5
1905-06-08,Aquaculture - inland waters,5
1905-06-09,Aquaculture - inland waters,6
1905-06-10,Aquaculture - inland waters,7
1905-06-11,Aquaculture - inland waters,7
1905-06-12,Aquaculture - inland waters,8
1905-06-13,Aquaculture - inland waters,8
1905-06-14,Aquaculture - inland waters,9
1905-06-15,Aquaculture - inland waters,10
1905-06-16,Aquaculture - inland waters,12
1905-06-17,Aquaculture - inland waters,14
1905-06-18,Aquaculture - inland waters,15
1905-06-19,Aquaculture - inland waters,16
1905-06-20,Aquaculture - inland waters,17
1905-06-21,Aquaculture - inland waters,18
1905-06-22,Aquaculture - inland waters,19
1905-06-23,Aquaculture - inland waters,20
1905-06-24,Aquaculture - inland waters,21
1905-06-25,Aquaculture - inland waters,22
1905-06-26,Aquaculture - inland waters,24
1905-06-27,Aquaculture - inland waters,26
1905-06-28,Aquaculture - inland waters,28
1905-06-29,Aquaculture - inland waters,30
1905-06-30,Aquaculture - inland waters,32
1905-07-01,Aquaculture - inland waters,34
1905-07-02,Aquaculture - inland waters,36
1905-07-03,Aquaculture - inland waters,37
1905-07-04,Aquaculture - inland waters,40
1905-07-05,Aquaculture - inland waters,42
1905-07-06,Aquaculture - inland waters,44
1905-07-07,Aquaculture - inland waters,46
1905-07-08,Aquaculture - inland waters,48
1905-07-09,Aquaculture - inland waters,59
1905-07-10,Aquaculture - inland waters,51
1905-05-03,Capture fisheries - marine waters,17
1905-05-04,Capture fisheries - marine waters,19
1905-05-05,Capture fisheries - marine waters,21
1905-05-06,Capture fisheries - marine waters,21
1905-05-07,Capture fisheries - marine waters,23
1905-05-08,Capture fisheries - marine waters,24
1905-05-09,Capture fisheries - marine waters,25
1905-05-10,Capture fisheries - marine waters,26
1905-05-11,Capture fisheries - marine waters,26
1905-05-12,Capture fisheries - marine waters,29
1905-05-13,Capture fisheries - marine waters,31
1905-05-14,Capture fisheries - marine waters,34
1905-05-15,Capture fisheries - marine waters,37
1905-05-16,Capture fisheries - marine waters,39
1905-05-17,Capture fisheries - marine waters,43
1905-05-18,Capture fisheries - marine waters,44
1905-05-19,Capture fisheries - marine waters,48
1905-05-20,Capture fisheries - marine waters,51
1905-05-21,Capture fisheries - marine waters,54
1905-05-22,Capture fisheries - marine waters,52
1905-05-23,Capture fisheries - marine waters,58
1905-05-24,Capture fisheries - marine waters,58
1905-05-25,Capture fisheries - marine waters,54
1905-05-26,Capture fisheries - marine waters,54
1905-05-27,Capture fisheries - marine waters,57
1905-05-28,Capture fisheries - marine waters,57
1905-05-29,Capture fisheries - marine waters,60
1905-05-30,Capture fisheries - marine waters,59
1905-05-31,Capture fisheries - marine waters,61
1905-06-01,Capture fisheries - marine waters,62
1905-06-02,Capture fisheries - marine waters,62
1905-06-03,Capture fisheries - marine waters,64
1905-06-04,Capture fisheries - marine waters,66
1905-06-05,Capture fisheries - marine waters,65
1905-06-06,Capture fisheries - marine waters,71
1905-06-07,Capture fisheries - marine waters,73
1905-06-08,Capture fisheries - marine waters,78
1905-06-09,Capture fisheries - marine waters,78
1905-06-10,Capture fisheries - marine waters,82
1905-06-11,Capture fisheries - marine waters,82
1905-06-12,Capture fisheries - marine waters,78
1905-06-13,Capture fisheries - marine waters,77
1905-06-14,Capture fisheries - marine waters,79
1905-06-15,Capture fisheries - marine waters,80
1905-06-16,Capture fisheries - marine waters,85
1905-06-17,Capture fisheries - marine waters,85
1905-06-18,Capture fisheries - marine waters,86
1905-06-19,Capture fisheries - marine waters,86
1905-06-20,Capture fisheries - marine waters,78
1905-06-21,Capture fisheries - marine waters,83
1905-06-22,Capture fisheries - marine waters,85
1905-06-23,Capture fisheries - marine waters,82
1905-06-24,Capture fisheries - marine waters,83
1905-06-25,Capture fisheries - marine waters,80
1905-06-26,Capture fisheries - marine waters,84
1905-06-27,Capture fisheries - marine waters,83
1905-06-28,Capture fisheries - marine waters,80
1905-06-29,Capture fisheries - marine waters,80
1905-06-30,Capture fisheries - marine waters,79
1905-07-01,Capture fisheries - marine waters,79
1905-07-02,Capture fisheries - marine waters,76
1905-07-03,Capture fisheries - marine waters,81
1905-07-04,Capture fisheries - marine waters,78
1905-07-05,Capture fisheries - marine waters,79
1905-07-06,Capture fisheries - marine waters,79
1905-07-07,Capture fisheries - marine waters,81
1905-07-08,Capture fisheries - marine waters,78
1905-07-09,Capture fisheries - marine waters,81
1905-07-10,Capture fisheries - marine waters,84
1905-05-03,Capture fisheries - inland waters,2
1905-05-04,Capture fisheries - inland waters,2
1905-05-05,Capture fisheries - inland waters,2
1905-05-06,Capture fisheries - inland waters,3
1905-05-07,Capture fisheries - inland waters,3
1905-05-08,Capture fisheries - inland waters,3
1905-05-09,Capture fisheries - inland waters,3
1905-05-10,Capture fisheries - inland waters,3
1905-05-11,Capture fisheries - inland waters,3
1905-05-12,Capture fisheries - inland waters,3
1905-05-13,Capture fisheries - inland waters,3
1905-05-14,Capture fisheries - inland waters,3
1905-05-15,Capture fisheries - inland waters,4
1905-05-16,Capture fisheries - inland waters,3
1905-05-17,Capture fisheries - inland waters,4
1905-05-18,Capture fisheries - inland waters,4
1905-05-19,Capture fisheries - inland waters,4
1905-05-20,Capture fisheries - inland waters,4
1905-05-21,Capture fisheries - inland waters,4
1905-05-22,Capture fisheries - inland waters,4
1905-05-23,Capture fisheries - inland waters,5
1905-05-24,Capture fisheries - inland waters,5
1905-05-25,Capture fisheries - inland waters,5
1905-05-26,Capture fisheries - inland waters,5
1905-05-27,Capture fisheries - inland waters,5
1905-05-28,Capture fisheries - inland waters,5
1905-05-29,Capture fisheries - inland waters,5
1905-05-30,Capture fisheries - inland waters,5
1905-05-31,Capture fisheries - inland waters,5
1905-06-01,Capture fisheries - inland waters,5
1905-06-02,Capture fisheries - inland waters,5
1905-06-03,Capture fisheries - inland waters,5
1905-06-04,Capture fisheries - inland waters,5
1905-06-05,Capture fisheries - inland waters,6
1905-06-06,Capture fisheries - inland waters,6
1905-06-07,Capture fisheries - inland waters,6
1905-06-08,Capture fisheries - inland waters,6
1905-06-09,Capture fisheries - inland waters,6
1905-06-10,Capture fisheries - inland waters,6
1905-06-11,Capture fisheries - inland waters,6
1905-06-12,Capture fisheries - inland waters,6
1905-06-13,Capture fisheries - inland waters,6
1905-06-14,Capture fisheries - inland waters,6
1905-06-15,Capture fisheries - inland waters,7
1905-06-16,Capture fisheries - inland waters,7
1905-06-17,Capture fisheries - inland waters,7
1905-06-18,Capture fisheries - inland waters,7
1905-06-19,Capture fisheries - inland waters,7
1905-06-20,Capture fisheries - inland waters,8
1905-06-21,Capture fisheries - inland waters,8
1905-06-22,Capture fisheries - inland waters,9
1905-06-23,Capture fisheries - inland waters,9
1905-06-24,Capture fisheries - inland waters,8
1905-06-25,Capture fisheries - inland waters,9
1905-06-26,Capture fisheries - inland waters,9
1905-06-27,Capture fisheries - inland waters,9
1905-06-28,Capture fisheries - inland waters,10
1905-06-29,Capture fisheries - inland waters,10
1905-06-30,Capture fisheries - inland waters,10
1905-07-01,Capture fisheries - inland waters,10
1905-07-02,Capture fisheries - inland waters,10
1905-07-03,Capture fisheries - inland waters,11
1905-07-04,Capture fisheries - inland waters,11
1905-07-05,Capture fisheries - inland waters,11
1905-07-06,Capture fisheries - inland waters,11
1905-07-07,Capture fisheries - inland waters,11
1905-07-08,Capture fisheries - inland waters,11
1905-07-09,Capture fisheries - inland waters,12
1905-07-10,Capture fisheries - inland waters,12